zone_id,locality,street_name,landmark_description,latitude,longitude,start_latitude,start_longitude,end_latitude,end_longitude,crime_type,severity,risk_score,lighting,crowd_level,time_of_day,police_station,report_source,polygon_coords
DZ-BBS-001,Infocity / Patia,DLF Cybercity Backroad Alley,"Secluded connector road between Infocity Gate 3 and DLF Tower rear gate, running behind tech parks and student hostels",20.349267,85.811948,20.3524,85.8089,20.3475,85.8138,"Eve-teasing, Catcalling & Stalking",4,86,Poor,Deserted,Night (9:00 PM - 4:00 AM),Infocity Police Station,r/Bhubaneswar Community Warning & Student Safety Audits,"[[85.8089, 20.352361], [85.809655, 20.352362], [85.811863, 20.352334], [85.811922, 20.351311], [85.811937, 20.351049], [85.811953, 20.350486], [85.812025, 20.349271], [85.812041, 20.348805], [85.812072, 20.347811], [85.812206, 20.347861], [85.813985, 20.347839], [85.814064, 20.347514], [85.81391, 20.347506], [85.813959, 20.347697], [85.812204, 20.347717], [85.811922, 20.347779], [85.811887, 20.348801], [85.811871, 20.349263], [85.811799, 20.35048], [85.811783, 20.351043], [85.811768, 20.351307], [85.811797, 20.352204], [85.809653, 20.352218], [85.8089, 20.352217], [85.8089, 20.352361]]"
DZ-BBS-002,Acharya Vihar,Science Park Highway Underpass,"Dimly lit, low-clearance highway underpass connecting Acharya Vihar junction to Regional Science Centre / GA Colony rear",20.298782,85.832867,20.2965,85.8322,20.2985,85.8365,Chain Snatching & Harassment,5,92,Poor,Isolated,Evening & Night (7:30 PM - 5:00 AM),Saheed Nagar Police Station,BMC Dark Spot Survey & Commissionerate Police Vulnerable Points,"[[85.832147, 20.296385], [85.831659, 20.296746], [85.831795, 20.296994], [85.832829, 20.29691], [85.832851, 20.296924], [85.832864, 20.296957], [85.832895, 20.297204], [85.833044, 20.297273], [85.832838, 20.298344], [85.83279, 20.298783], [85.832885, 20.300817], [85.832957, 20.300951], [85.833403, 20.300944], [85.83374, 20.300963], [85.834198, 20.300877], [85.834068, 20.299287], [85.834522, 20.298378], [85.836475, 20.298229], [85.836463, 20.298085], [85.834456, 20.298248], [85.833916, 20.299267], [85.834046, 20.300857], [85.833738, 20.300819], [85.833405, 20.3008], [85.832979, 20.300809], [85.833039, 20.300811], [85.832944, 20.298781], [85.83299, 20.298366], [85.833198, 20.297279], [85.833031, 20.297138], [85.833014, 20.296931], [85.832959, 20.296822], [85.832821, 20.296766], [85.831803, 20.29685], [85.831781, 20.296834], [85.832241, 20.296499], [85.832147, 20.296385]]"
DZ-BBS-003,Vani Vihar / Saheed Nagar,Utkal University Perimeter & Railway Halt Lane,Unpaved boundary road running along the university eastern wall towards Vani Vihar unstaffed railway halt,20.299036,85.84994,20.2995,85.8432,20.3042,85.8468,"Stalking, Phone Snatching & Harassment",4,88,Poor,Deserted,Night (8:00 PM - 5:30 AM),Saheed Nagar Police Station,Student Union Reports & r/Bhubaneswar Threads,"[[85.842776, 20.299539], [85.842564, 20.298948], [85.841624, 20.298515], [85.840973, 20.298121], [85.84059, 20.296623], [85.84217, 20.296511], [85.846432, 20.296142], [85.849033, 20.296956], [85.849494, 20.298251], [85.849864, 20.299041], [85.849618, 20.299743], [85.849446, 20.299927], [85.849204, 20.301546], [85.848663, 20.302757], [85.848207, 20.303855], [85.847781, 20.304471], [85.847188, 20.304193], [85.846823, 20.304108], [85.846787, 20.304248], [85.847134, 20.304327], [85.847833, 20.304607], [85.848345, 20.303919], [85.848805, 20.302811], [85.849352, 20.301582], [85.849596, 20.299957], [85.849758, 20.299801], [85.850016, 20.299031], [85.849638, 20.298201], [85.849123, 20.29684], [85.846442, 20.295998], [85.842156, 20.296367], [85.840464, 20.296541], [85.840835, 20.298185], [85.841548, 20.298641], [85.84246, 20.299052], [85.84263, 20.299583], [85.842776, 20.299539]]"
DZ-BBS-004,Jaydev Vihar,Salia Sahi Peripheral Drain Lane,Narrow bypass alley between residential apartment compounds and the Salia Sahi slum margin behind Fortune Tower,20.305948,85.818891,20.3012,85.8182,20.3065,85.8198,"Catcalling, Purse Snatching & Eve-teasing",4,85,Poor,Low,Evening & Night (8:00 PM - 3:00 AM),Nayapalli Police Station,Local Resident Welfare Reports & Police Beat Patrol Alerts,"[[85.818178, 20.301223], [85.818524, 20.30137], [85.818478, 20.302041], [85.818315, 20.303016], [85.818161, 20.303708], [85.818052, 20.304179], [85.818055, 20.304512], [85.818209, 20.30489], [85.818341, 20.305116], [85.818578, 20.305595], [85.818831, 20.305985], [85.818969, 20.306074], [85.819484, 20.305923], [85.819873, 20.305977], [85.820232, 20.306135], [85.820302, 20.306356], [85.820395, 20.30649], [85.820797, 20.306661], [85.820308, 20.306985], [85.819745, 20.306709], [85.819839, 20.30651], [85.819701, 20.306474], [85.819639, 20.306799], [85.820318, 20.307119], [85.820939, 20.306685], [85.820479, 20.306382], [85.820434, 20.306304], [85.82033, 20.306037], [85.819915, 20.305849], [85.819468, 20.305789], [85.818945, 20.305942], [85.818951, 20.305911], [85.818706, 20.305533], [85.818469, 20.305056], [85.818341, 20.304836], [85.818195, 20.304484], [85.818194, 20.304197], [85.818301, 20.303736], [85.818457, 20.30304], [85.81862, 20.302057], [85.81866, 20.301324], [85.818244, 20.301103], [85.818178, 20.301223]]"
DZ-BBS-005,Patia,Sikharchandi Foothill Secluded Lane,Connecting backroad from KIIT Campus 6 towards the foot of Sikharchandi Hill temple complex,20.360952,85.818261,20.3625,85.8155,20.3578,85.8195,Eve-teasing & Reckless Biker Harassment,4,82,Poor,Deserted,Night (9:30 PM - 5:00 AM),Infocity Police Station,r/Bhubaneswar Safety Discussions & Community Tips,"[[85.815515, 20.362665], [85.816252, 20.362591], [85.816194, 20.362129], [85.81741, 20.362063], [85.817461, 20.361645], [85.81776, 20.361121], [85.81787, 20.361126], [85.81796, 20.361056], [85.818035, 20.361037], [85.818267, 20.361024], [85.818576, 20.360948], [85.818572, 20.360163], [85.818688, 20.360062], [85.818918, 20.360064], [85.819432, 20.35978], [85.819783, 20.359456], [85.819721, 20.35875], [85.819596, 20.358137], [85.819516, 20.357796], [85.819366, 20.357828], [85.819446, 20.358165], [85.819569, 20.35877], [85.819635, 20.35942], [85.819342, 20.359664], [85.81886, 20.35993], [85.818628, 20.35993], [85.81842, 20.360141], [85.818428, 20.36091], [85.818255, 20.36088], [85.818015, 20.360895], [85.817888, 20.36093], [85.817812, 20.360992], [85.817638, 20.361035], [85.817315, 20.361601], [85.817356, 20.361929], [85.816126, 20.361999], [85.816152, 20.362483], [85.815501, 20.362521], [85.815515, 20.362665]]"
DZ-BBS-006,Chandrasekharpur,Damana - Niladri Vihar Canal Service Road,Narrow concrete service road alongside the storm water canal behind Damana commercial shops,20.327132,85.812679,20.3232,85.8112,20.3278,85.8138,Harassment & Anti-social Loitering,3,80,Poor,Deserted,Night (8:30 PM - 4:00 AM),Chandrasekharpur Police Station,BMC Unlit Stretch Audit & Resident Complaints,"[[85.811271, 20.323192], [85.811334, 20.323698], [85.811444, 20.324419], [85.812148, 20.324379], [85.812118, 20.32456], [85.812238, 20.325696], [85.812242, 20.325791], [85.812333, 20.326415], [85.812426, 20.326616], [85.812468, 20.326959], [85.812622, 20.326957], [85.812603, 20.327141], [85.812656, 20.327246], [85.812698, 20.327438], [85.812758, 20.327993], [85.812828, 20.328497], [85.813055, 20.328521], [85.813187, 20.328498], [85.813593, 20.3284], [85.813921, 20.328267], [85.814044, 20.328223], [85.814095, 20.328084], [85.814096, 20.328093], [85.81399, 20.327989], [85.813953, 20.328032], [85.813928, 20.328129], [85.813865, 20.328133], [85.813545, 20.328264], [85.813151, 20.328358], [85.813031, 20.328379], [85.81297, 20.328441], [85.81291, 20.327977], [85.81285, 20.32742], [85.812802, 20.327204], [85.812755, 20.327123], [85.81275, 20.326879], [85.812602, 20.326891], [85.812576, 20.326584], [85.812483, 20.326385], [85.812394, 20.325773], [85.81239, 20.325682], [85.81227, 20.324546], [85.81219, 20.324241], [85.811544, 20.324311], [85.811486, 20.323682], [85.811423, 20.323176], [85.811271, 20.323192]]"
DZ-BBS-007,Master Canteen / Kharvel Nagar,Bhubaneswar Railway Station Platform 6 Rear Alley (Mali Sahi),Uncontrolled dark pedestrian alley bordering railway tracks and Mali Sahi behind station platform 6,20.268384,85.841035,20.2658,85.8402,20.2698,85.8428,"Robbery, Snatching & Intimidation",5,94,Poor,Low,Late Night (10:00 PM - 5:30 AM),Kharvel Nagar / GRP Bhubaneswar,Commissionerate Police Crime Beat & News Feeds,"[[85.840194, 20.265792], [85.839762, 20.266049], [85.839958, 20.266444], [85.840046, 20.266595], [85.840318, 20.267126], [85.840481, 20.267439], [85.840651, 20.267794], [85.840722, 20.267937], [85.84075, 20.267985], [85.840811, 20.268101], [85.840874, 20.26822], [85.840965, 20.268412], [85.841013, 20.268522], [85.841069, 20.268662], [85.841132, 20.268868], [85.841138, 20.268893], [85.841228, 20.269077], [85.841466, 20.268974], [85.841902, 20.268723], [85.842192, 20.269265], [85.842605, 20.26906], [85.842696, 20.269439], [85.842804, 20.269799], [85.842952, 20.269761], [85.842844, 20.269399], [85.842665, 20.268928], [85.842262, 20.269137], [85.841958, 20.268589], [85.841394, 20.268848], [85.841252, 20.268935], [85.841288, 20.268865], [85.84128, 20.26883], [85.841215, 20.268618], [85.841155, 20.26847], [85.841105, 20.268356], [85.841014, 20.26816], [85.840949, 20.268037], [85.840886, 20.267919], [85.84086, 20.267875], [85.840791, 20.267734], [85.840619, 20.267379], [85.840456, 20.267064], [85.840184, 20.266531], [85.840092, 20.266376], [85.839906, 20.266097], [85.840272, 20.265916], [85.840194, 20.265792]]"
DZ-BBS-008,Baramunda,ISBT Depot Rear Perimeter Alley (Towards Jagamara),Potholed link alley flanking Baramunda interstate bus terminal workshop boundary wall,20.280231,85.795598,20.2788,85.7922,20.2832,85.7958,Eve-teasing & Robbery,4,87,Poor,Isolated,Night (9:00 PM - 4:30 AM),Khandagiri Police Station,Commuter Community Feedback & Transit Safety Surveys,"[[85.792164, 20.278388], [85.793667, 20.27725], [85.794318, 20.278313], [85.794715, 20.278872], [85.794991, 20.279196], [85.794663, 20.279482], [85.795297, 20.280064], [85.79542, 20.280182], [85.795549, 20.280286], [85.796088, 20.280689], [85.795853, 20.281012], [85.796796, 20.281569], [85.796604, 20.281819], [85.796067, 20.282756], [85.795857, 20.283134], [85.795871, 20.283075], [85.795799, 20.283201], [85.795977, 20.283224], [85.796203, 20.282824], [85.79674, 20.281887], [85.796916, 20.281479], [85.795975, 20.280926], [85.79623, 20.280635], [85.795647, 20.280176], [85.795526, 20.280078], [85.795403, 20.27996], [85.794809, 20.279438], [85.795143, 20.279204], [85.794841, 20.27879], [85.794448, 20.278237], [85.793663, 20.277106], [85.792068, 20.278276], [85.792164, 20.278388]]"
DZ-BBS-009,Khandagiri / Bharatpur,Bharatpur Reserve Forest Fringe Road,Completely dark stretch bordering the reserve forest buffer zone past Khandagiri Caves road,20.259433,85.785375,20.2572,85.7818,20.2628,85.7852,"Stalking, Assault & Anti-social Gathering",5,93,Pitch Black,Deserted,Evening & Night (7:00 PM - 5:00 AM),Bharatpur / Khandagiri PS,Odisha TV News & Police Anti-crime Crackdowns,"[[85.781861, 20.25689], [85.782874, 20.256954], [85.783815, 20.257013], [85.784492, 20.257218], [85.784668, 20.257718], [85.785063, 20.258695], [85.785155, 20.25893], [85.785291, 20.259452], [85.785381, 20.259831], [85.785492, 20.260213], [85.785709, 20.260839], [85.785968, 20.26151], [85.785669, 20.261918], [85.78538, 20.262364], [85.785116, 20.262748], [85.78526, 20.262836], [85.785526, 20.26245], [85.785815, 20.262004], [85.78614, 20.261516], [85.785873, 20.260787], [85.785656, 20.260165], [85.785549, 20.259793], [85.785459, 20.259414], [85.785321, 20.258886], [85.785225, 20.258639], [85.78483, 20.257662], [85.784606, 20.257096], [85.783845, 20.256853], [85.782886, 20.256792], [85.781873, 20.256728], [85.781861, 20.25689]]"
DZ-BBS-010,Kalinga Nagar / Ghatikia,Ghatikia - SUM Hospital Link Bypass,Isolated bypass road passing through undeveloped institutional plots towards SUM Hospital rear gate,20.284298,85.771896,20.2768,85.7722,20.2838,85.7765,"Catcalling, Eve-teasing & Stalking by Motorcyclists",4,84,Poor,Deserted,Night (8:30 PM - 5:00 AM),Khandagiri Police Station,r/Bhubaneswar Medical Student & Nurse Community Reports,"[[85.772128, 20.27679], [85.772013, 20.277548], [85.771901, 20.277923], [85.77198, 20.278594], [85.772015, 20.279437], [85.772141, 20.281013], [85.772215, 20.282131], [85.772207, 20.283244], [85.772103, 20.2838], [85.771846, 20.284244], [85.771062, 20.28463], [85.771384, 20.284884], [85.773325, 20.285655], [85.773999, 20.286016], [85.775276, 20.286666], [85.775615, 20.285017], [85.775689, 20.284434], [85.775982, 20.283237], [85.776593, 20.283271], [85.776595, 20.283127], [85.77586, 20.283151], [85.775539, 20.284406], [85.775463, 20.284993], [85.77519, 20.286546], [85.774075, 20.285892], [85.773389, 20.285525], [85.771446, 20.284752], [85.771178, 20.284724], [85.771946, 20.284352], [85.772247, 20.283848], [85.772359, 20.283254], [85.772369, 20.282127], [85.772293, 20.281003], [85.772167, 20.279429], [85.772132, 20.278584], [85.772055, 20.277927], [85.772163, 20.277574], [85.77228, 20.27681], [85.772128, 20.27679]]"
DZ-BBS-011,Pokhariput,Bhimpur Railway Level Crossing Approach Lane,Narrow approach road leading to unmanned railway track crossing near Bhimpur slum border,20.261698,85.798782,20.2488,85.8078,20.2532,85.8112,Snatching & Eve-teasing,4,83,Poor,Low,Evening & Night (7:30 PM - 4:00 AM),Airfield Police Station,BMC Dark Spots List & Resident Alerts,"[[85.808025, 20.248892], [85.808279, 20.250766], [85.80776, 20.25209], [85.805281, 20.253368], [85.803018, 20.254164], [85.800152, 20.255493], [85.79859, 20.256097], [85.798587, 20.257795], [85.798665, 20.259459], [85.798711, 20.261706], [85.799314, 20.264465], [85.799828, 20.266294], [85.801237, 20.26586], [85.802206, 20.264304], [85.803264, 20.262693], [85.802882, 20.261359], [85.806297, 20.256751], [85.809685, 20.252289], [85.809735, 20.252224], [85.809617, 20.252146], [85.809569, 20.252211], [85.806179, 20.256673], [85.802752, 20.261301], [85.803124, 20.262665], [85.802082, 20.264234], [85.801139, 20.265762], [85.799918, 20.266188], [85.799454, 20.264435], [85.798853, 20.26169], [85.798809, 20.259455], [85.798731, 20.257791], [85.798712, 20.256169], [85.800212, 20.255615], [85.803076, 20.254288], [85.805341, 20.25349], [85.807858, 20.252188], [85.808423, 20.250778], [85.808167, 20.248876], [85.808025, 20.248892]]"
DZ-BBS-012,Old Town,Lingaraj Railway Station Heritage Backlane,Deserted stone-walled back alley behind old temple compound leading towards Lingaraj station platform,20.243224,85.834089,20.2412,85.8318,20.2458,85.8358,Eve-teasing & Stalking,4,85,Poor,Isolated,Night (8:00 PM - 5:00 AM),Lingaraj Police Station,Commissionerate Police HER Team Reports & BMC Survey,"[[85.831813, 20.241076], [85.832051, 20.241055], [85.832498, 20.241004], [85.832527, 20.241423], [85.832395, 20.241752], [85.832303, 20.242082], [85.832629, 20.242382], [85.833534, 20.242475], [85.83403, 20.243263], [85.83474, 20.244096], [85.835053, 20.244347], [85.835378, 20.244462], [85.835985, 20.245318], [85.835946, 20.245329], [85.835962, 20.245526], [85.83599, 20.245783], [85.836132, 20.245769], [85.836106, 20.245514], [85.83609, 20.245335], [85.836109, 20.245248], [85.835484, 20.244372], [85.835129, 20.244233], [85.834848, 20.244006], [85.834148, 20.243185], [85.833614, 20.242363], [85.832673, 20.242254], [85.832439, 20.24204], [85.832531, 20.241796], [85.832671, 20.241435], [85.83259, 20.240902], [85.832039, 20.240921], [85.831799, 20.240942], [85.831813, 20.241076]]"
DZ-BBS-013,Nayapalli,Behera Sahi Interior Alley (Behind ISKCON),"Labyrinthine unlit residential alley behind the highway commercial strip, with blind turns and liquor shop proximity",20.300812,85.813757,20.2988,85.8108,20.3038,85.8142,"Eve-teasing, Obscene Gestures & Mobile Snatching",4,88,Poor,Moderate,Evening & Night (7:00 PM - 11:30 PM),Nayapalli Police Station,Nayapalli Police Snatching Gang Bust & Crime News,"[[85.810777, 20.298554], [85.811747, 20.298424], [85.812245, 20.298343], [85.812295, 20.298945], [85.812402, 20.299438], [85.812625, 20.299615], [85.812713, 20.299687], [85.812766, 20.300062], [85.813262, 20.300213], [85.813641, 20.300567], [85.813685, 20.300816], [85.813681, 20.301324], [85.813725, 20.301585], [85.813699, 20.301968], [85.813535, 20.302771], [85.813797, 20.303091], [85.814064, 20.303222], [85.814023, 20.303517], [85.814307, 20.303816], [85.81429, 20.303802], [85.814434, 20.303802], [85.814417, 20.30373], [85.814157, 20.303469], [85.814192, 20.30316], [85.813891, 20.302989], [85.813679, 20.302763], [85.813841, 20.301988], [85.813869, 20.301581], [85.813825, 20.301318], [85.813829, 20.300808], [85.813761, 20.300493], [85.813338, 20.300099], [85.812868, 20.299966], [85.812851, 20.299649], [85.812719, 20.299513], [85.812532, 20.299382], [85.812437, 20.298925], [85.812345, 20.298247], [85.811727, 20.29829], [85.810757, 20.29842], [85.810777, 20.298554]]"
DZ-BBS-014,Rasulgarh / Mancheswar,Industrial Estate Sector A Dark Corridor,"Deserted godown road bordered by industrial compounds and overgrown scrub, linking Rasulgarh flyover to Mancheswar",20.295048,85.871949,20.2938,85.8708,20.2992,85.8748,"Robbery, Assault & Harassment",5,91,Pitch Black,Deserted,Night (8:00 PM - 5:00 AM),Mancheswar Police Station,Local Industrial Worker Safety Forum & Police Logs,"[[85.870792, 20.293861], [85.871102, 20.293409], [85.871283, 20.293393], [85.871323, 20.293416], [85.871364, 20.293534], [85.871448, 20.293575], [85.871506, 20.293785], [85.871253, 20.294885], [85.871531, 20.295055], [85.871745, 20.29512], [85.871956, 20.295129], [85.872293, 20.29508], [85.87248, 20.295115], [85.873027, 20.295529], [85.873178, 20.295689], [85.873794, 20.296361], [85.874391, 20.29702], [85.874736, 20.297431], [85.874982, 20.297699], [85.875225, 20.297894], [85.874786, 20.298222], [85.874896, 20.298346], [85.875391, 20.29794], [85.875112, 20.297593], [85.87487, 20.297329], [85.874523, 20.296918], [85.873926, 20.296255], [85.873308, 20.295583], [85.873141, 20.295407], [85.872572, 20.294979], [85.872293, 20.294918], [85.871942, 20.294967], [85.871777, 20.294962], [85.871593, 20.294905], [85.871425, 20.294889], [85.871676, 20.293805], [85.871604, 20.293505], [85.871504, 20.293438], [85.871459, 20.293316], [85.871291, 20.293231], [85.870984, 20.293291], [85.870648, 20.293773], [85.870792, 20.293861]]"
DZ-BBS-015,Patia,Patia Station Connector Alley,"Dark side lane branching off Nandankanan main road towards Patia railway passenger halt, behind coaching institutes",20.358605,85.829503,20.3538,85.8268,20.3588,85.8308,Eve-teasing & Chain Snatching,4,86,Poor,Low,Night (8:30 PM - 4:30 AM),Infocity Police Station,r/Bhubaneswar Student Alerts & Daily Commuter Reports,"[[85.826684, 20.353837], [85.827146, 20.35512], [85.827357, 20.355424], [85.827451, 20.355775], [85.827573, 20.356499], [85.827687, 20.357183], [85.827832, 20.358061], [85.827992, 20.358797], [85.829501, 20.358677], [85.829561, 20.358824], [85.829737, 20.358961], [85.830149, 20.359908], [85.830607, 20.360033], [85.830581, 20.359495], [85.830779, 20.359295], [85.830914, 20.359042], [85.830798, 20.358803], [85.83066, 20.358867], [85.83076, 20.359038], [85.830653, 20.359213], [85.830431, 20.359465], [85.830481, 20.359951], [85.830277, 20.35983], [85.829873, 20.358895], [85.829677, 20.35873], [85.829505, 20.358533], [85.828046, 20.358663], [85.827984, 20.358039], [85.827839, 20.357161], [85.827725, 20.356477], [85.827601, 20.355749], [85.827497, 20.355366], [85.827288, 20.355066], [85.82683, 20.353791], [85.826684, 20.353837]]"
DZ-BBS-016,Palaspalli,Airport Southern Perimeter Wall Lane,Desolate straight lane hugging the boundary wall of Biju Patnaik International Airport runway,20.25304,85.819196,20.2518,85.8188,20.2568,85.8228,Stalking & Anti-social Loitering,3,79,Pitch Black,Deserted,Night (9:00 PM - 4:00 AM),Airfield Police Station,BMC Dark Spots Priority Ward List,"[[85.818615, 20.251412], [85.818165, 20.251612], [85.818015, 20.251799], [85.817994, 20.252202], [85.818007, 20.252464], [85.81811, 20.252561], [85.818302, 20.252677], [85.818459, 20.252734], [85.818618, 20.252763], [85.819153, 20.253099], [85.819726, 20.253477], [85.819908, 20.25344], [85.820034, 20.253469], [85.820125, 20.253578], [85.820129, 20.253778], [85.821211, 20.255197], [85.821515, 20.25556], [85.822316, 20.256748], [85.822486, 20.256992], [85.822614, 20.256914], [85.822446, 20.25667], [85.821643, 20.25548], [85.821335, 20.255113], [85.820259, 20.253702], [85.820271, 20.253532], [85.82012, 20.253351], [85.819906, 20.253296], [85.819794, 20.253349], [85.819239, 20.252981], [85.818692, 20.252637], [85.818501, 20.252596], [85.818374, 20.252551], [85.818198, 20.252443], [85.818155, 20.252428], [85.818148, 20.252204], [85.818163, 20.251833], [85.818249, 20.251732], [85.818681, 20.251542], [85.818615, 20.251412]]"
DZ-BBS-017,Chandrasekharpur,Housing Board Colony Lane 4 (Behind Market),Internal residential lane suffering recurring streetlight outages and blind cul-de-sacs near the district sub-registrar office,20.331846,85.819258,20.3288,85.8172,20.3338,85.8212,Catcalling & Purse Snatching,3,81,Poor,Low,Evening & Night (8:00 PM - 1:00 AM),Chandrasekharpur Police Station,Neighbourhood Watch Complaints & News Snatching Reports,"[[85.81715, 20.328859], [85.817688, 20.329263], [85.818202, 20.329646], [85.818836, 20.330153], [85.819659, 20.330769], [85.819367, 20.331002], [85.819268, 20.331402], [85.819181, 20.331572], [85.819186, 20.331852], [85.819252, 20.332352], [85.819548, 20.332617], [85.819918, 20.332697], [85.820636, 20.332624], [85.820656, 20.332911], [85.820965, 20.333803], [85.821199, 20.333949], [85.821273, 20.333833], [85.821095, 20.333745], [85.820794, 20.332873], [85.820684, 20.332496], [85.819918, 20.332563], [85.819616, 20.332499], [85.819384, 20.3323], [85.81933, 20.33184], [85.819323, 20.331596], [85.819406, 20.331442], [85.819495, 20.331064], [85.819785, 20.330703], [85.818928, 20.330049], [85.818294, 20.329542], [85.817778, 20.329157], [85.81724, 20.328753], [85.81715, 20.328859]]"
