incident_id,locality,latitude,longitude,crime_type,severity,time_of_day,day_type,lighting,crowd_level,police_distance_m,report_source,risk_score
INC00001,Chandrasekharpur,20.33065,85.819339,Harassment,3,Night,Weekday,Poor,Low,278,Community,75
INC00002,Infocity,20.344032,85.813159,Harassment,3,Afternoon,Weekday,Moderate,Medium,551,Community,54
INC00003,Acharya Vihar,20.299042,85.832933,Snatching,3,Night,Weekend,Moderate,High,298,Community,70
INC00004,KIIT Square,20.353217,85.820839,Snatching,3,Evening,Weekday,Moderate,Low,1366,Police,63
INC00005,Infocity,20.342367,85.814736,Harassment,3,Morning,Weekday,Good,High,669,Community,45
INC00006,Old Town,20.239021,85.835211,Stalking,4,Night,Weekend,Good,Medium,1193,Police,72
INC00007,Lingaraj,20.245552,85.835129,Harassment,3,Afternoon,Weekend,Moderate,Low,214,Community,50
INC00008,Lingaraj,20.241266,85.836657,Harassment,3,Night,Weekend,Moderate,Medium,910,Police,75
INC00009,Jaydev Vihar,20.29948,85.820368,Harassment,3,Afternoon,Weekend,Moderate,Low,917,Community,52
INC00010,Infocity,20.346167,85.813917,Sexual Harassment,5,Afternoon,Weekend,Poor,Medium,888,Community,97
INC00011,Pokhariput,20.252069,85.805324,Suspicious Activity,2,Night,Weekend,Moderate,High,1412,Community,54
INC00012,Acharya Vihar,20.302723,85.837255,Stalking,4,Afternoon,Weekday,Moderate,High,317,Police,69
INC00013,Jaydev Vihar,20.298969,85.822721,Stalking,4,Night,Weekend,Poor,Medium,1100,Community,95
INC00014,Rasulgarh,20.292568,85.873682,Harassment,3,Morning,Weekend,Moderate,High,1190,Police,52
INC00015,Pokhariput,20.255166,85.80464,Harassment,3,Night,Weekend,Poor,Low,511,Police,81
INC00016,Master Canteen,20.268709,85.839487,Suspicious Activity,2,Morning,Weekday,Good,Medium,1305,Community,26
INC00017,Rasulgarh,20.287488,85.869983,Harassment,3,Evening,Weekend,Good,Medium,1204,Community,57
INC00018,Rasulgarh,20.292145,85.869142,Sexual Harassment,5,Morning,Weekday,Moderate,Medium,1056,Police,80
INC00019,KIIT Square,20.352036,85.82017,Stalking,4,Afternoon,Weekday,Good,Medium,964,Community,62
INC00020,Infocity,20.346168,85.816302,Stalking,4,Morning,Weekday,Poor,Low,291,Police,78
INC00021,Kalpana Square,20.258282,85.842406,Stalking,4,Morning,Weekend,Moderate,Low,643,Police,72
INC00022,Kalpana Square,20.261383,85.8447,Snatching,3,Night,Weekday,Moderate,High,545,Police,74
